Offset-Description                                                                                                 
0000 - Pointer           189A30 : P->1002B6F98         189AD0 : P->1002B6F98         1898F0 : P->1002B6F98         
012C - 4 Bytes           189B5C : 0                    189BFC : 0                    189A1C : 0                    
0130 - 4 Bytes           189B60 : 0                    189C00 : 0                    189A20 : 0                    
0134 - 4 Bytes           189B64 : 0                    189C04 : 0                    189A24 : 0                    
0138 - 4 Bytes (Hex)     189B68 : 00A380A1             189C08 : 00AD80A1             189A28 : 008F80A1             
013C - 4 Bytes           189B6C : 0                    189C0C : 0                    189A2C : 0                    
0140 - Pointer           189B70 : P->1002BE4F0         189C10 : P->1002BE4F0         189A30 : P->1002B6F98         
0148 - 4 Bytes           189B78 : 0                    189C18 : 0                    189A38 : 0                    
014C - 4 Bytes           189B7C : 0                    189C1C : 0                    189A3C : 0                    
0150 - Pointer           189B80 : P->1002BDFD8         189C20 : P->1002BDFD8         189A40 : P->00000000          
0158 - Pointer to instance of TMBCSEncoding189B88 : P->0012A720          189C28 : P->0012A720          189A48 : P->3F8000003F800000  
0160 - 4 Bytes           189B90 : 0                    189C30 : 0                    189A50 : 0                    
0164 - 4 Bytes           189B94 : 0                    189C34 : 0                    189A54 : 0                    
0168 - 4 Bytes           189B98 : 0                    189C38 : 0                    189A58 : 1061997773           
016C - 4 Bytes (Hex)     189B9C : 2C220001             189C3C : 2C220001             189A5C : 00000000             
0170 - 4 Bytes           189BA0 : 61                   189C40 : 61                   189A60 : 0                    
0174 - 4 Bytes           189BA4 : 0                    189C44 : 0                    189A64 : 1091882187           
0178 - 4 Bytes           189BA8 : 0                    189C48 : 0                    189A68 : 0                    
017C - 4 Bytes           189BAC : 0                    189C4C : 0                    189A6C : 0                    
0180 - 4 Bytes           189BB0 : 1                    189C50 : 1                    189A70 : 0                    
0184 - 4 Bytes           189BB4 : 0                    189C54 : 0                    189A74 : 1040254501           
0188 - Pointer           189BB8 : P->1002C0C70         189C58 : P->1002C0C70         189A78 : P->00000000          
0190 - 4 Bytes           189BC0 : 1                    189C60 : 1                    189A80 : 0                    
0194 - 4 Bytes           189BC4 : 0                    189C64 : 0                    189A84 : 0                    
0198 - Pointer           189BC8 : P->001221F0          189C68 : P->001222B0          189A88 : P->00000000          
01A0 - 4 Bytes           189BD0 : 1                    189C70 : 4                    189A90 : 80                   
01A4 - 4 Bytes           189BD4 : 4                    189C74 : 4                    189A94 : 100                  
01A8 - 4 Bytes           189BD8 : 0                    189C78 : 0                    189A98 : 0                    
01AC - 4 Bytes           189BDC : 0                    189C7C : 0                    189A9C : 0                    
01B0 - 4 Bytes           189BE0 : 0                    189C80 : 0                    189AA0 : 0                    
01B4 - 4 Bytes           189BE4 : 0                    189C84 : 0                    189AA4 : 0                    
01B8 - 4 Bytes           189BE8 : 0                    189C88 : 0                    189AA8 : 0                    
01BC - 4 Bytes           189BEC : 0                    189C8C : 0                    189AAC : 0                    
01C0 - 4 Bytes           189BF0 : 0                    189C90 : 0                    189AB0 : 36                   
01C4 - 4 Bytes           189BF4 : 0                    189C94 : 0                    189AB4 : 15                   
01C8 - 4 Bytes           189BF8 : 0                    189C98 : 0                    189AB8 : 1                    
01CC - 4 Bytes           189BFC : 0                    189C9C : 0                    189ABC : 1                    
01D0 - 4 Bytes           189C00 : 0                    189CA0 : 0                    189AC0 : 0                    
01D4 - 4 Bytes           189C04 : 0                    189CA4 : 0                    189AC4 : 0                    
01D8 - 4 Bytes (Hex)     189C08 : 00AD80A1             189CA8 : 00B780A1             189AC8 : 009980A1             
01DC - 4 Bytes           189C0C : 0                    189CAC : 0                    189ACC : 0                    
01E0 - Pointer           189C10 : P->1002BE4F0         189CB0 : P->1002B5E18         189AD0 : P->1002B6F98         
01E8 - 4 Bytes           189C18 : 0                    189CB8 : 0                    189AD8 : 0                    
01EC - 4 Bytes           189C1C : 0                    189CBC : 0                    189ADC : 0                    
01F0 - Pointer           189C20 : P->1002BDFD8         189CC0 : P->00000000          189AE0 : P->00000000          
01F8 - Pointer to instance of TMBCSEncoding189C28 : P->0012A720          189CC8 : P->3F8000003F800000  189AE8 : P->3F8000003F800000  
0200 - 4 Bytes           189C30 : 0                    189CD0 : 0                    189AF0 : 0                    
0204 - 4 Bytes           189C34 : 0                    189CD4 : 1058642330           189AF4 : 3193039749           
0208 - 4 Bytes           189C38 : 0                    189CD8 : 1060320051           189AF8 : 3209481421           
020C - 4 Bytes (Hex)     189C3C : 2C220001             189CDC : BF800000             189AFC : 00000000             
0210 - 4 Bytes           189C40 : 61                   189CE0 : 3212836864           189B00 : 0                    
0214 - 4 Bytes           189C44 : 0                    189CE4 : 0                    189B04 : 1127002850           
0218 - 4 Bytes           189C48 : 0                    189CE8 : 0                    189B08 : 0                    
021C - 4 Bytes           189C4C : 0                    189CEC : 0                    189B0C : 0                    
0220 - 4 Bytes           189C50 : 1                    189CF0 : 0                    189B10 : 0                    
0224 - 4 Bytes           189C54 : 0                    189CF4 : 0                    189B14 : 1040254501           
0228 - Pointer           189C58 : P->1002C0C70         189CF8 : P->00000000          189B18 : P->00000000          
0230 - 4 Bytes           189C60 : 1                    189D00 : 0                    189B20 : 0                    
0234 - 4 Bytes           189C64 : 0                    189D04 : 0                    189B24 : 0                    
0238 - Pointer           189C68 : P->001222B0          189D08 : P->FF00008000        189B28 : P->00000000          
0240 - 4 Bytes           189C70 : 4                    189D10 : 4                    189B30 : 199                  
0244 - 4 Bytes           189C74 : 4                    189D14 : 0                    189B34 : 200                  
0248 - 4 Bytes           189C78 : 0                    189D18 : 1847488              189B38 : 1678864              
024C - 4 Bytes           189C7C : 0                    189D1C : 0                    189B3C : 0                    
0250 - 4 Bytes           189C80 : 0                    189D20 : 1053609165           189B40 : 1                    
0254 - 4 Bytes           189C84 : 0                    189D24 : 1050253722           189B44 : 0                    
0258 - 4 Bytes           189C88 : 0                    189D28 : 0                    189B48 : 256                  
025C - 4 Bytes           189C8C : 0                    189D2C : 256                  189B4C : 0                    
0260 - 4 Bytes           189C90 : 0                    189D30 : 655                  189B50 : 0                    
0264 - 4 Bytes           189C94 : 0                    189D34 : 278                  189B54 : 0                    
0268 - 4 Bytes           189C98 : 0                    189D38 : 1                    189B58 : 0                    
026C - 4 Bytes           189C9C : 0                    189D3C : 1                    189B5C : 0                    
0270 - 4 Bytes           189CA0 : 0                    189D40 : 0                    189B60 : 0                    
0274 - 4 Bytes           189CA4 : 0                    189D44 : 0                    189B64 : 0                    
0278 - 4 Bytes (Hex)     189CA8 : 00B780A1             189D48 : 00C180A1             189B68 : 00A380A1             
027C - 4 Bytes           189CAC : 0                    189D4C : 0                    189B6C : 0                    
0280 - Pointer           189CB0 : P->1002B5E18         189D50 : P->1002BE4F0         189B70 : P->1002BE4F0         
0288 - 4 Bytes           189CB8 : 0                    189D58 : 0                    189B78 : 0                    
028C - 4 Bytes           189CBC : 0                    189D5C : 0                    189B7C : 0                    
0290 - 4 Bytes           189CC0 : 0                    189D60 : 2875352              189B80 : 2875352              
0294 - Double            189CC4 : 0.0078125            189D64 : 2.59399555874126E-308189B84 : 2.59399555874126E-308
029C - Float             189CCC : 1                    189D6C : 0                    189B8C : 0                    
02A0 - Double            189CD0 : 0.0000976562732830644189D70 : 0                    189B90 : 0                    
02A8 - String            189CD8 : 333?                 189D78 :                      189B98 :                      
02AD - Byte              189CDD : 0                    189D7D : 0                    189B9D : 0                    
02AE - Byte              189CDE : 128                  189D7E : 34                   189B9E : 34                   
02AF - Byte              189CDF : 191                  189D7F : 44                   189B9F : 44                   
02B0 - Float             189CE0 : -1                   189D80 : 8.547920632E-44      189BA0 : 8.547920632E-44      
02B4 - 4 Bytes           189CE4 : 0                    189D84 : 0                    189BA4 : 0                    
02B8 - 4 Bytes           189CE8 : 0                    189D88 : 0                    189BA8 : 0                    
02BC - 4 Bytes           189CEC : 0                    189D8C : 0                    189BAC : 0                    
02C0 - 4 Bytes           189CF0 : 0                    189D90 : 1                    189BB0 : 1                    
02C4 - 4 Bytes           189CF4 : 0                    189D94 : 0                    189BB4 : 0                    
02C8 - 4 Bytes           189CF8 : 0                    189D98 : 2886768              189BB8 : 2886768              
02CC - 4 Bytes           189CFC : 0                    189D9C : 1                    189BBC : 1                    
02D0 - 4 Bytes           189D00 : 0                    189DA0 : 1                    189BC0 : 1                    
02D4 - 4 Bytes           189D04 : 0                    189DA4 : 0                    189BC4 : 0                    
02D8 - 4 Bytes (Hex)     189D08 : 00008000             189DA8 : 00122430             189BC8 : 001221F0             
02DC - 4 Bytes           189D0C : 255                  189DAC : 0                    189BCC : 0                    
02E0 - 4 Bytes           189D10 : 4                    189DB0 : 2                    189BD0 : 1                    
02E4 - 4 Bytes           189D14 : 0                    189DB4 : 4                    189BD4 : 4                    
02E8 - Pointer to instance of TFont189D18 : P->001C30C0          189DB8 : P->00000000          189BD8 : P->00000000          
02F0 - Float             189D20 : 0.400000006          189DC0 : 0                    189BE0 : 0                    
02F4 - Float             189D24 : 0.3000000119         189DC4 : 0                    189BE4 : 0                    
02F8 - 4 Bytes           189D28 : 0                    189DC8 : 0                    189BE8 : 0                    
02FC - 4 Bytes           189D2C : 256                  189DCC : 0                    189BEC : 0                    
0300 - 4 Bytes           189D30 : 655                  189DD0 : 0                    189BF0 : 0                    
0304 - 4 Bytes           189D34 : 278                  189DD4 : 0                    189BF4 : 0                    
0308 - Pointer           189D38 : P->100000001         189DD8 : P->00000000          189BF8 : P->00000000          
0310 - 4 Bytes           189D40 : 0                    189DE0 : 0                    189C00 : 0                    
0314 - 4 Bytes           189D44 : 0                    189DE4 : 0                    189C04 : 0                    
0318 - 4 Bytes (Hex)     189D48 : 00C180A1             189DE8 : 00CB80A1             189C08 : 00AD80A1             
031C - 4 Bytes           189D4C : 0                    189DEC : 0                    189C0C : 0                    
0320 - Pointer           189D50 : P->1002BE4F0         189DF0 : P->1002BE4F0         189C10 : P->1002BE4F0         
0328 - 4 Bytes           189D58 : 0                    189DF8 : 0                    189C18 : 0                    
032C - 4 Bytes           189D5C : 0                    189DFC : 0                    189C1C : 0                    
0330 - Pointer           189D60 : P->1002BDFD8         189E00 : P->1002BDFD8         189C20 : P->1002BDFD8         
0338 - Pointer to instance of TMBCSEncoding189D68 : P->0012A720          189E08 : P->0012A720          189C28 : P->0012A720          
0340 - 4 Bytes           189D70 : 0                    189E10 : 0                    189C30 : 0                    
0344 - 4 Bytes           189D74 : 0                    189E14 : 0                    189C34 : 0                    
0348 - 4 Bytes           189D78 : 0                    189E18 : 0                    189C38 : 0                    
034C - 4 Bytes (Hex)     189D7C : 2C220001             189E1C : 2C220001             189C3C : 2C220001             
0350 - 4 Bytes           189D80 : 61                   189E20 : 61                   189C40 : 61                   
0354 - 4 Bytes           189D84 : 0                    189E24 : 0                    189C44 : 0                    
0358 - 4 Bytes           189D88 : 0                    189E28 : 0                    189C48 : 0                    
035C - 4 Bytes           189D8C : 0                    189E2C : 0                    189C4C : 0                    
0360 - 4 Bytes           189D90 : 1                    189E30 : 1                    189C50 : 1                    
0364 - 4 Bytes           189D94 : 0                    189E34 : 0                    189C54 : 0                    
0368 - Pointer           189D98 : P->1002C0C70         189E38 : P->1002C0C70         189C58 : P->1002C0C70         
0370 - 4 Bytes           189DA0 : 1                    189E40 : 1                    189C60 : 1                    
0374 - 4 Bytes           189DA4 : 0                    189E44 : 0                    189C64 : 0                    
0378 - Pointer           189DA8 : P->00122430          189E48 : P->001D25A0          189C68 : P->001222B0          
0380 - 4 Bytes           189DB0 : 2                    189E50 : 8                    189C70 : 4                    
0384 - 4 Bytes           189DB4 : 4                    189E54 : 16                   189C74 : 4                    
0388 - 4 Bytes           189DB8 : 0                    189E58 : 0                    189C78 : 0                    
038C - 4 Bytes           189DBC : 0                    189E5C : 0                    189C7C : 0                    
0390 - 4 Bytes           189DC0 : 0                    189E60 : 0                    189C80 : 0                    
0394 - 4 Bytes           189DC4 : 0                    189E64 : 0                    189C84 : 0                    
0398 - 4 Bytes           189DC8 : 0                    189E68 : 0                    189C88 : 0                    
039C - 4 Bytes           189DCC : 0                    189E6C : 0                    189C8C : 0                    
03A0 - 4 Bytes           189DD0 : 0                    189E70 : 0                    189C90 : 0                    
03A4 - 4 Bytes           189DD4 : 0                    189E74 : 0                    189C94 : 0                    
03A8 - 4 Bytes           189DD8 : 0                    189E78 : 0                    189C98 : 0                    
03AC - 4 Bytes           189DDC : 0                    189E7C : 0                    189C9C : 0                    
03B0 - 4 Bytes           189DE0 : 0                    189E80 : 0                    189CA0 : 0                    
03B4 - 4 Bytes           189DE4 : 0                    189E84 : 0                    189CA4 : 0                    
03B8 - 4 Bytes (Hex)     189DE8 : 00CB80A1             189E88 : 00D580A1             189CA8 : 00B780A1             
03BC - 4 Bytes           189DEC : 0                    189E8C : 0                    189CAC : 0                    
03C0 - Pointer           189DF0 : P->1002BE4F0         189E90 : P->1002BE4F0         189CB0 : P->1002B5E18         
03C8 - 4 Bytes           189DF8 : 0                    189E98 : 0                    189CB8 : 0                    
03CC - 4 Bytes           189DFC : 0                    189E9C : 0                    189CBC : 0                    
03D0 - Pointer           189E00 : P->1002BDFD8         189EA0 : P->1002BDFD8         189CC0 : P->00000000          
03D8 - Pointer to instance of TMBCSEncoding189E08 : P->0012A720          189EA8 : P->0012A720          189CC8 : P->3F8000003F800000  
03E0 - 4 Bytes           189E10 : 0                    189EB0 : 0                    189CD0 : 0                    
03E4 - 4 Bytes           189E14 : 0                    189EB4 : 0                    189CD4 : 1058642330           
03E8 - 4 Bytes           189E18 : 0                    189EB8 : 0                    189CD8 : 1060320051           
03EC - 4 Bytes (Hex)     189E1C : 2C220001             189EBC : 2C220001             189CDC : BF800000             
03F0 - 4 Bytes           189E20 : 61                   189EC0 : 61                   189CE0 : 3212836864           
03F4 - 4 Bytes           189E24 : 0                    189EC4 : 0                    189CE4 : 0                    
03F8 - 4 Bytes           189E28 : 0                    189EC8 : 0                    189CE8 : 0                    
03FC - 4 Bytes           189E2C : 0                    189ECC : 0                    189CEC : 0                    
0400 - 4 Bytes           189E30 : 1                    189ED0 : 1                    189CF0 : 0                    
0404 - 4 Bytes           189E34 : 0                    189ED4 : 0                    189CF4 : 0                    
0408 - Pointer           189E38 : P->1002C0C70         189ED8 : P->1002C0C70         189CF8 : P->00000000          
0410 - 4 Bytes           189E40 : 1                    189EE0 : 1                    189D00 : 0                    
0414 - 4 Bytes           189E44 : 0                    189EE4 : 0                    189D04 : 0                    
0418 - Pointer           189E48 : P->001D25A0          189EE8 : P->001226D0          189D08 : P->FF00008000        
0420 - 4 Bytes           189E50 : 8                    189EF0 : 2                    189D10 : 4                    
0424 - 4 Bytes           189E54 : 16                   189EF4 : 4                    189D14 : 0                    
0428 - 4 Bytes           189E58 : 0                    189EF8 : 0                    189D18 : 1847488              
042C - 4 Bytes           189E5C : 0                    189EFC : 0                    189D1C : 0                    
0430 - 4 Bytes           189E60 : 0                    189F00 : 0                    189D20 : 1053609165           
0434 - 4 Bytes           189E64 : 0                    189F04 : 0                    189D24 : 1050253722           
0438 - 4 Bytes           189E68 : 0                    189F08 : 0                    189D28 : 0                    
043C - 4 Bytes           189E6C : 0                    189F0C : 0                    189D2C : 256                  
0440 - 4 Bytes           189E70 : 0                    189F10 : 0                    189D30 : 655                  
0444 - 4 Bytes           189E74 : 0                    189F14 : 0                    189D34 : 278                  
0448 - 4 Bytes           189E78 : 0                    189F18 : 0                    189D38 : 1                    
044C - 4 Bytes           189E7C : 0                    189F1C : 0                    189D3C : 1                    
0450 - 4 Bytes           189E80 : 0                    189F20 : 0                    189D40 : 0                    
0454 - 4 Bytes           189E84 : 0                    189F24 : 0                    189D44 : 0                    
0458 - 4 Bytes (Hex)     189E88 : 00D580A1             189F28 : 00DF80A1             189D48 : 00C180A1             
045C - 4 Bytes           189E8C : 0                    189F2C : 0                    189D4C : 0                    
0460 - Pointer           189E90 : P->1002BE4F0         189F30 : P->00000001          189D50 : P->1002BE4F0         
0468 - 4 Bytes           189E98 : 0                    189F38 : 1                    189D58 : 0                    
046C - 4 Bytes           189E9C : 0                    189F3C : 0                    189D5C : 0                    
0470 - Pointer           189EA0 : P->1002BDFD8         189F40 : P->10003CB40         189D60 : P->1002BDFD8         
0478 - Pointer to instance of TMBCSEncoding189EA8 : P->0012A720          189F48 : P->00199B10          189D68 : P->0012A720          
0480 - 4 Bytes           189EB0 : 0                    189F50 : 248640               189D70 : 0                    
0484 - 4 Bytes           189EB4 : 0                    189F54 : 1                    189D74 : 0                    
0488 - 4 Bytes           189EB8 : 0                    189F58 : 1678608              189D78 : 0                    
048C - 4 Bytes (Hex)     189EBC : 2C220001             189F5C : 00000000             189D7C : 2C220001             
0490 - 4 Bytes           189EC0 : 61                   189F60 : 242848               189D80 : 61                   
0494 - 4 Bytes           189EC4 : 0                    189F64 : 1                    189D84 : 0                    
0498 - 4 Bytes           189EC8 : 0                    189F68 : 1613456              189D88 : 0                    
049C - 4 Bytes           189ECC : 0                    189F6C : 0                    189D8C : 0                    
04A0 - 4 Bytes           189ED0 : 1                    189F70 : 0                    189D90 : 1                    
04A4 - 4 Bytes           189ED4 : 0                    189F74 : 0                    189D94 : 0                    
04A8 - Pointer           189ED8 : P->1002C0C70         189F78 : P->00000000          189D98 : P->1002C0C70         
04B0 - 4 Bytes           189EE0 : 1                    189F80 : 1                    189DA0 : 1                    
04B4 - 4 Bytes           189EE4 : 0                    189F84 : 0                    189DA4 : 0                    
04B8 - Pointer           189EE8 : P->001226D0          189F88 : P->00000000          189DA8 : P->00122430          
04C0 - 4 Bytes           189EF0 : 2                    189F90 : 0                    189DB0 : 2                    
04C4 - 4 Bytes           189EF4 : 4                    189F94 : 0                    189DB4 : 4                    
04C8 - 4 Bytes           189EF8 : 0                    189F98 : 0                    189DB8 : 0                    
04CC - 4 Bytes           189EFC : 0                    189F9C : 0                    189DBC : 0                    
04D0 - 4 Bytes           189F00 : 0                    189FA0 : 0                    189DC0 : 0                    
04D4 - 4 Bytes           189F04 : 0                    189FA4 : 0                    189DC4 : 0                    
04D8 - 4 Bytes           189F08 : 0                    189FA8 : 0                    189DC8 : 0                    
04DC - 4 Bytes           189F0C : 0                    189FAC : 0                    189DCC : 0                    
04E0 - 4 Bytes           189F10 : 0                    189FB0 : 0                    189DD0 : 0                    
04E4 - 4 Bytes           189F14 : 0                    189FB4 : 0                    189DD4 : 0                    
04E8 - 4 Bytes           189F18 : 0                    189FB8 : 0                    189DD8 : 0                    
04EC - 4 Bytes           189F1C : 0                    189FBC : 0                    189DDC : 0                    
04F0 - 4 Bytes           189F20 : 0                    189FC0 : 0                    189DE0 : 0                    
04F4 - 4 Bytes           189F24 : 0                    189FC4 : 0                    189DE4 : 0                    
04F8 - 4 Bytes (Hex)     189F28 : 00DF80A1             189FC8 : 00E980A1             189DE8 : 00CB80A1             
04FC - 4 Bytes           189F2C : 0                    189FCC : 0                    189DEC : 0                    
0500 - 4 Bytes           189F30 : 1                    189FD0 : 2876656              189DF0 : 2876656              
0504 - 4 Bytes           189F34 : 0                    189FD4 : 1                    189DF4 : 1                    
0508 - 4 Bytes           189F38 : 1                    189FD8 : 0                    189DF8 : 0                    
050C - 4 Bytes           189F3C : 0                    189FDC : 0                    189DFC : 0                    
0510 - Pointer           189F40 : P->10003CB40         189FE0 : P->1002BDFD8         189E00 : P->1002BDFD8         
0518 - Pointer to instance of TStaticGUIObject189F48 : P->00199B10          189FE8 : P->0012A720          189E08 : P->0012A720          
0520 - Pointer           189F50 : P->10003CB40         189FF0 : P->00000000          189E10 : P->00000000          
0528 - Pointer to instance of TStaticGUIObject189F58 : P->00199D10          189FF8 : P->2C22000100000000  189E18 : P->2C22000100000000  
0530 - Pointer           189F60 : P->10003B4A0         18A000 : P->0000003D          189E20 : P->0000003D          
0538 - Pointer to instance of TStringList189F68 : P->00189E90          18A008 : P->00000000          189E28 : P->00000000          
0540 - 4 Bytes           189F70 : 0                    18A010 : 1                    189E30 : 1                    
0544 - 4 Bytes           189F74 : 0                    18A014 : 0                    189E34 : 0                    
0548 - 4 Bytes           189F78 : 0                    18A018 : 2886768              189E38 : 2886768              
054C - 4 Bytes           189F7C : 0                    18A01C : 1                    189E3C : 1                    
0550 - 4 Bytes           189F80 : 1                    18A020 : 1                    189E40 : 1                    
0554 - 4 Bytes           189F84 : 0                    18A024 : 0                    189E44 : 0                    
0558 - 4 Bytes           189F88 : 0                    18A028 : 1189680              189E48 : 1910176              
055C - 4 Bytes           189F8C : 0                    18A02C : 0                    189E4C : 0                    
0560 - 4 Bytes           189F90 : 0                    18A030 : 2                    189E50 : 8                    
0564 - 4 Bytes           189F94 : 0                    18A034 : 4                    189E54 : 16                   
0568 - 4 Bytes           189F98 : 0                    18A038 : 0                    189E58 : 0                    
056C - 4 Bytes           189F9C : 0                    18A03C : 0                    189E5C : 0                    
0570 - 4 Bytes           189FA0 : 0                    18A040 : 0                    189E60 : 0                    
0574 - 4 Bytes           189FA4 : 0                    18A044 : 0                    189E64 : 0                    
0578 - 4 Bytes           189FA8 : 0                    18A048 : 0                    189E68 : 0                    
057C - 4 Bytes           189FAC : 0                    18A04C : 0                    189E6C : 0                    
0580 - 4 Bytes           189FB0 : 0                    18A050 : 0                    189E70 : 0                    
0584 - 4 Bytes           189FB4 : 0                    18A054 : 0                    189E74 : 0                    
0588 - 4 Bytes           189FB8 : 0                    18A058 : 0                    189E78 : 0                    
058C - 4 Bytes           189FBC : 0                    18A05C : 0                    189E7C : 0                    
0590 - 4 Bytes           189FC0 : 0                    18A060 : 0                    189E80 : 0                    
0594 - 4 Bytes           189FC4 : 0                    18A064 : 0                    189E84 : 0                    
0598 - 4 Bytes (Hex)     189FC8 : 00E980A1             18A068 : 00F380A1             189E88 : 00D580A1             
059C - 4 Bytes           189FCC : 0                    18A06C : 0                    189E8C : 0                    
05A0 - Pointer           189FD0 : P->1002BE4F0         18A070 : P->0018A7E8          189E90 : P->1002BE4F0         
05A8 - 4 Bytes           189FD8 : 0                    18A078 : 1615688              189E98 : 0                    
05AC - 4 Bytes           189FDC : 0                    18A07C : 0                    189E9C : 0                    
